artist,country,gender,language,popularity_bin,train_popularity,iteration_1_exposure,iteration_2_exposure
Dionne Warwick,US,Female,en,high,0.0004216709803123273,7.213241292398154e-05,0.0
Love,JP,Female,en,high,0.0007270189315729781,7.511816718184699e-05,0.0001854210732656421
Marty Robbins,US,Male,en,mid,0.00014540378631459563,8.317904999927444e-05,0.0
Howard Shore,CA,Male,no_lyrics,high,0.0009742053683077907,0.001686023445229239,0.0016555498690762162
Joe Walsh,US,Male,en,mid,0.0002471864367348126,0.0,0.0
Oswaldo Montenegro,BR,Male,pt,high,0.0003925902230494082,8.317904999927444e-05,0.0001720659762789517
Jessica Simpson,US,Female,en,mid,0.00013086340768313608,0.0,0.0
David Archuleta,US,Male,en,mid,0.00013086340768313608,0.0,0.0
Conor Oberst,US,Male,en,low,7.270189315729782e-05,0.0,0.0
Violet Chachki,US,Non-binary,en,low,1.4540378631459563e-05,0.0,0.0
Roy Orbison,US,Male,en,high,0.0020211126297728795,0.005529306128187809,0.00793953227190659
Ladyhawke,NZ,Female,en,high,0.0003925902230494082,0.00010746980087250656,0.0
Sennek,BE,Female,en,mid,0.0002035653008404339,0.0,0.0
Céu,BR,Female,pt,high,0.0014394974845144968,0.0016442494231875384,0.0034092370759918815
Adriana Calcanhotto,BR,Female,pt,high,0.0004362113589437869,0.0,0.0
Billy Bragg,UK,Male,en,mid,0.00026172681536627216,7.511816718184699e-05,0.0
Bright Light Bright Light,UK,Male,0,mid,8.724227178875738e-05,0.0,0.0
Caro Emerald,NL,Female,en,low,7.270189315729782e-05,0.0,0.0
Cyndi Lauper,US,Female,en,mid,0.00010178265042021695,0.0,0.0
Mariah Carey,US,Female,en,high,0.0045802192689097625,0.004008195368547528,0.00124108916366999
Fever Ray,SE,Non-binary,en,high,0.0023119202024020707,0.0009221065853191286,0.0009261808611184128
David Gilmour,UK,Male,en,high,0.00037804984441794864,0.0,0.00012476857499891167
Marisa Monte,BR,Female,pt,high,0.0007560996888358973,0.001982673499465039,0.0017437741036736849
Elliott Smith,US,Male,en,high,0.001861168464826824,0.001082444265181913,0.0003834111989384043
Thalía,MX,Female,es,mid,0.0002762671939977317,0.0,0.0
Reginaldo Rossi,BR,Male,pt,low,5.816151452583825e-05,0.0,0.0
Pitty,BR,Female,pt,high,0.0009887457469392503,0.00035554770511870903,0.00016635809999854888
Arnaldo Antunes,BR,Male,pt,mid,8.724227178875738e-05,0.0,0.0
Gil Scott-Heron,US,Male,0,high,0.001599441649460552,0.0008931904979653075,0.0003570069508703299
Barbra Streisand,US,Female,en,mid,0.0001163230290516765,0.0,0.0
Leon Russell,US,Male,en,low,4.362113589437869e-05,0.0,0.0
Richard Ashcroft,UK,Male,en,high,0.00036350946578648906,0.00015383837345937223,7.511816718184699e-05
Prurient,US,Male,en,mid,0.00014540378631459563,0.0,0.0
Vanessa Carlton,US,Female,en,high,0.001032366882833629,0.0007410932111995532,0.0005452873427681341
Dwight Yoakam,US,Male,en,mid,0.00014540378631459563,0.0,0.0
Blaze Bayley,UK,Male,en,low,1.4540378631459563e-05,0.0,0.0
Jane Monheit,US,Female,en,mid,0.0001163230290516765,0.0,0.0
Zé Keti,BR,Male,no_lyrics,low,4.362113589437869e-05,0.0,0.0
Julie Delpy,FR,Female,en,low,4.362113589437869e-05,0.0,0.0
Amy Macdonald,UK,Female,en,high,0.0010178265042021695,0.0,0.0
Cher,US,Female,en,high,0.0011196091546223864,9.653414698596486e-05,0.0
Chico Buarque,BR,Male,pt,high,0.00232646058103353,0.00024507830627607414,0.00023341538436296843
Françoise Hardy,FR,Female,fr,low,7.270189315729782e-05,0.0,0.0
Joe Dassin,FR,Male,fr,high,0.0005234536307325443,0.0,0.0
Travis Scott,US,Male,en,high,0.006339605083316369,0.008587104518074234,0.010991256174487114
YOB,UK,Male,0,high,0.0009596649896763312,0.00047232123766515155,9.653414698596486e-05
Baths,US,Male,en,high,0.00036350946578648906,0.0,0.0
Bob Dylan,US,Male,en,high,0.003533312007444674,0.0007323572669913067,0.00023223837587141825
Orianthi,AU,Female,en,low,7.270189315729782e-05,0.0,0.0
Di Melo,BR,Male,pt,mid,0.00010178265042021695,0.0,0.0
Anitta,BR,Female,pt,high,0.0005089132521010847,0.0008603298813947585,0.001009564352552099
Marina Lima,BR,Female,pt,high,0.00033442870852356995,8.317904999927444e-05,8.317904999927444e-05
Ludacris,US,Male,en,mid,0.0001163230290516765,0.0,0.0
Junkie XL,NL,Male,no_lyrics,low,7.270189315729782e-05,0.0,0.0
St. Vincent,US,Female,en,high,0.001861168464826824,0.00043715569998611177,9.653414698596486e-05
Max Frost,US,Male,en,mid,0.0002471864367348126,0.0,0.0
Danny Brown,US,Male,en,high,0.0006979381743100591,0.00012476857499891167,0.0
Sunmi,KR,Female,ko,high,0.0025881873963998023,0.0,0.0
Tweet,US,Female,en,low,4.362113589437869e-05,0.0,0.0
Jack Johnson,US,Male,0,high,0.0008869630965190334,0.00015744041255505052,0.00015744041255505052
Chelsea Wolfe,US,Female,en,high,0.0042167098031232735,0.0037412577099590716,0.002892859302394289
Machine Head,JP,Male,en,high,0.0009887457469392503,0.0009088820869920076,0.0014547402999541726
Bob Marley & The Wailers,JM,Male,0,high,0.0035769331433390525,0.0015965405118454005,0.0006153002767556683
Nina Hagen,DE,Female,de,low,2.9080757262919125e-05,0.0,0.0
Brandy,BE,Male,en,mid,0.000232646058103353,7.511816718184699e-05,0.0
Al Jarreau,US,Male,en,low,7.270189315729782e-05,0.0,0.0
Mr.Kitty,US,Male,en,high,0.0012213918050426034,0.003718682476599828,0.0011539372808210117
IAMX,DE,Male,en,high,0.006514089626893885,0.0056184831437908886,0.0019889151652820554
Boris,FR,Male,en,low,7.270189315729782e-05,0.0,0.0
Panda Bear,US,Male,en,high,0.002559106639136883,0.0019218636526761915,0.001194445944289348
Ingrid Michaelson,US,Female,en,high,0.00030534795126065085,0.0,0.0
Sufjan Stevens,US,Male,en,high,0.0038095792014424057,0.005527907529626546,0.0022309299833115446
"Parks, Squares and Alleys",RU,Male,0,high,0.00029080757262919127,0.0,0.0
Astrud Gilberto,BR,Female,en,high,0.0011777706691482245,0.0003384240762775006,0.0
Khaled,DZ,Male,fr,low,1.4540378631459563e-05,0.0,0.0
Kaaris,FR,Male,fr,low,4.362113589437869e-05,0.0,0.0
Com Truise,US,Male,no_lyrics,low,5.816151452583825e-05,0.0,0.0
Michael Jackson,US,Male,en,high,0.006005176374792799,0.0026958474008264683,0.0009774844848874143
Judy Collins,US,Female,en,mid,0.0002471864367348126,0.00016101933920365877,7.213241292398154e-05
Alizée,FR,Female,fr,low,5.816151452583825e-05,0.0,0.0
Mitchell Tenpenny,US,Male,en,mid,0.00013086340768313608,0.0,0.0
Luísa Maita,BR,Female,pt,low,1.4540378631459563e-05,0.0,0.0
Avril Lavigne,CA,Female,en,high,0.006703114549102858,0.009643471420341292,0.013439364719542636
Mylène Farmer,FR,Female,fr,high,0.0005525343879954634,0.0,0.0
Robert Wyatt,UK,Male,en,mid,0.00021810567947189345,0.0,0.0
Jennifer Lopez,US,Female,en,high,0.002224677930613313,0.0007811277577352305,0.0012989299909039892
Sia,AU,Female,en,high,0.009567569139500392,0.009557917836501418,0.009097455977479865
Meja,SE,Female,en,mid,0.0001163230290516765,0.0,0.0
Hilary Duff,US,Female,en,high,0.0005816151452583825,0.0,0.0
Melanie C,UK,Female,en,high,0.0005089132521010847,7.213241292398154e-05,0.0
