artist,country,gender,language,popularity_bin,train_popularity,iteration_1_exposure,iteration_2_exposure
Nina Simone,US,Female,en,high,0.0009596649896763312,0.00041820370990776974,7.872020627752526e-05
Kendrick Lamar,US,Male,en,high,0.0027772123186087768,0.001990466050571598,0.0016599426904827515
Dan Croll,UK,Male,en,mid,0.00013086340768313608,0.0,0.0
Ice Cube,US,Male,en,high,0.0011050687759909267,0.001342487954518186,0.0017168425911349545
Niykee Heaton,US,Female,0,high,0.00033442870852356995,0.0,0.0
Rory Gallagher,IE,Male,en,high,0.0008578823392561142,0.0,0.0
Juan Magán,ES,Male,es,mid,0.00014540378631459563,0.0,0.0
Colter Wall,CA,Male,0,mid,0.0001163230290516765,7.213241292398154e-05,0.0
Betta Lemme,US,Female,en,high,0.0004071306016808678,0.00012476857499891167,0.0
Jessie J,UK,Female,en,high,0.0018320877075639049,0.005667184772962826,0.007067846936235138
"Jessie J, Ariana Grande & Nicki Minaj",UK,Female,0,low,7.270189315729782e-05,0.0,0.0
Christina Perri,US,Female,en,high,0.00029080757262919127,7.213241292398154e-05,0.0
Beth Hart,US,Female,en,mid,0.0001163230290516765,0.0,0.0
Patti Smith,US,Female,en,high,0.000930584232413412,0.00022298503212548834,0.0005246140834275324
Max George,UK,Male,en,low,1.4540378631459563e-05,0.0,0.0
Duncan Sheik,US,Male,en,high,0.0003925902230494082,0.0004791099754768554,0.0
Brian Wilson,US,Male,en,high,0.00036350946578648906,0.0,0.0
Meat Loaf,US,Male,en,high,0.0004798324948381656,7.213241292398154e-05,0.0
Cat Power,US,Female,en,high,0.0012504725623055225,0.0003685533020907051,0.00024953714999782333
Colbie Caillat,US,Female,en,mid,0.00018902492220897432,0.0,0.0
Jack White,US,Male,en,high,0.0004507517375752465,0.0,0.0
Sally Dige,DE,Female,0,mid,0.00015994416494605519,0.00012476857499891167,0.0
Frank Turner,UK,Male,en,high,0.001497658999040335,8.888692627967726e-05,0.0
Gene Vincent,US,Male,en,low,7.270189315729782e-05,0.0,0.0
Robyn,SE,Female,en,high,0.004420275103963707,0.011547554339894168,0.021296277981220118
Lloyd Banks,US,Male,en,mid,8.724227178875738e-05,0.0,0.0
Bette Midler,US,Female,en,mid,0.0001163230290516765,0.0,0.0
Júníus Meyvant,IS,Male,en,high,0.00037804984441794864,0.0,0.0
Damian Marley,JM,Male,en,low,2.9080757262919125e-05,0.0,0.0
Kerli,EE,Female,en,mid,0.00021810567947189345,0.0,0.0
Gui Boratto,BR,Male,no_lyrics,mid,0.0002471864367348126,0.0,0.0
Mark Pritchard,UK,Male,no_lyrics,mid,0.00014540378631459563,0.0,0.0
Jesse McCartney,US,Male,en,high,0.00030534795126065085,0.00019988674218075867,0.0
Kevin Morby,US,Male,en,high,0.0012359321836740629,0.0005988754459833086,0.0
Natalie Imbruglia,AU,Female,en,high,0.0005089132521010847,0.0,0.0
Wander Wildner,BR,Male,pt,low,1.4540378631459563e-05,0.0,0.0
Nick Drake,UK,Male,en,high,0.0015412801349347137,0.0003304548329979949,7.872020627752526e-05
Emma Bunton,UK,Female,en,low,4.362113589437869e-05,0.0,0.0
Jessica Mauboy,AU,Female,en,low,2.9080757262919125e-05,0.0,0.0
Toby Keith,US,Male,en,low,4.362113589437869e-05,0.0,0.0
Florrie,UK,Female,en,mid,0.0002035653008404339,0.0,0.0
Etherwood,UK,Male,en,high,0.00031988832989211037,0.0,0.0
Johnny Hooker,BR,Male,0,high,0.0007706400674673569,0.00038320197826167626,0.00019690098792289322
Valesca Popozuda,BR,Female,pt,low,5.816151452583825e-05,0.0,0.0
Per Gessle,SE,Male,sv,low,1.4540378631459563e-05,0.0,0.0
Elton John,UK,Male,en,high,0.0017884665716695262,0.00012476857499891167,0.00012476857499891167
Wolfine,CO,Male,es,low,5.816151452583825e-05,0.0,0.0
hoops,ES,Male,en,low,4.362113589437869e-05,0.0,0.0
Vinícius de Moraes,BR,Male,0,low,5.816151452583825e-05,0.0,0.0001963567271521838
Rozalén,ES,Female,es,mid,0.0002471864367348126,0.0,0.0
Patrick Wolf,UK,Male,en,mid,0.00021810567947189345,0.0,0.0
50 Cent,US,Male,en,mid,0.0002035653008404339,0.0,0.0
Gavin DeGraw,US,Male,en,mid,8.724227178875738e-05,0.0,7.872020627752526e-05
Kris Kristofferson,US,Male,en,low,1.4540378631459563e-05,0.0,0.0
Nick Hakim,US,Male,en,high,0.0004798324948381656,7.213241292398154e-05,0.0
Lil Xan,US,Male,en,high,0.0005234536307325443,0.0,0.0
Graham Nash,UK,Male,en,mid,0.00026172681536627216,0.00015744041255505052,7.511816718184699e-05
Delroy Wilson,JM,Male,en,low,1.4540378631459563e-05,0.0,0.0
Taylor Swift,US,Female,en,high,0.0055980457731119315,0.010404481506849837,0.013015112545698341
Bill Withers,US,Male,en,mid,0.0001163230290516765,0.0,0.0
Madeleine Peyroux,US,Female,en,mid,0.00026172681536627216,0.000465094047026725,0.0001854210732656421
Emperor,UK,Male,en,high,0.0016430627853549306,0.008043110199803246,0.005723462539556206
Brothertiger,US,Male,en,low,2.9080757262919125e-05,0.0,0.0
Chuck Berry,US,Male,en,high,0.0015412801349347137,0.008875779826629057,0.008682959982195045
Johnny Cash,US,Male,en,high,0.001701224299880769,0.0007636488571207723,7.213241292398154e-05
Dozer,NL,Male,en,mid,0.000232646058103353,7.872020627752526e-05,0.0
Peter Gabriel,UK,Male,en,high,0.0008288015819931951,0.0,0.0
St. Lucia,DE,Male,en,high,0.00036350946578648906,0.0,0.0
John Mayer,IN,Male,en,high,0.006732195306365778,0.00684486683768893,0.0074800316742823225
Ambrosia,UK,Female,en,mid,0.00014540378631459563,0.0,0.0
Alice Cooper,US,Male,en,high,0.0004943728734696252,0.0003905921646826908,0.0008540484481944312
Iron & Wine,US,Male,0,high,0.001599441649460552,0.000553683881887993,0.0003397081767439248
Anouk,FR,Female,en,high,0.000799720824730276,0.0,0.0
Lorde,NZ,Female,en,high,0.00398406374501992,0.0013509530207288967,0.0012607819939827953
Bonnie Tyler,UK,Female,en,mid,0.00015994416494605519,0.0,0.0
Andrew McMahon in the Wilderness,US,Male,0,high,0.00037804984441794864,0.00012476857499891167,0.0
Stephen Malkmus,US,Male,en,low,5.816151452583825e-05,0.0,0.0
Barrington Levy,JM,Male,en,mid,0.000232646058103353,0.00019690098792289322,0.0
Thom Yorke,UK,Male,0,high,0.0029662372408177508,0.004885328344506026,0.006892467801650808
K.Flay,US,Female,en,high,0.0004507517375752465,7.872020627752526e-05,0.00022957282547903204
Suede,US,Female,en,high,0.000901503475150493,0.0005859634915115491,0.00020348878127643692
Thundercat,US,Male,en,high,0.00034896908715502953,0.0,0.0
Anna Calvi,UK,Female,en,high,0.0007560996888358973,8.888692627967726e-05,0.00023223837587141825
Denai Moore,UK,Female,0,low,4.362113589437869e-05,0.0,0.0
Elvis Costello,UK,Male,en,low,4.362113589437869e-05,0.0,0.0
Tilian,US,Male,0,mid,0.00010178265042021695,0.0,0.0
George Ezra,UK,Male,en,high,0.002937156483554832,0.002801067339961236,0.0019382979621664078
Regina Spektor,US,Female,en,high,0.001497658999040335,0.00010746980087250656,0.0
John Martyn,UK,Male,en,mid,0.00018902492220897432,0.0,0.0
Chance the Rapper,US,Male,en,high,0.00029080757262919127,7.213241292398154e-05,7.213241292398154e-05
Hercules & Love Affair,UK,Male,0,mid,0.0001163230290516765,0.0,0.0
Alayna,US,Female,en,mid,8.724227178875738e-05,0.0,0.0
Joshua Burnside,UK,Male,en,mid,8.724227178875738e-05,0.0,0.0
Suzanne Vega,US,Female,en,high,0.0005961555238898421,0.0002163972387719446,0.0
Troye Sivan,AU,Male,en,high,0.0015267397563032542,0.001502236826984634,0.0019351112634503822
Kesha,US,Female,en,mid,0.00013086340768313608,0.0,0.0
Paula Abdul,US,Female,en,high,0.001366795591357199,0.0007541148848394611,7.872020627752526e-05
Jon Bellion,US,Male,en,mid,0.00014540378631459563,0.0,0.0
Hope Tala,UK,Female,0,low,2.9080757262919125e-05,0.0,0.0
Shay Lia,CA,Female,en,low,4.362113589437869e-05,0.0,0.0
Vienna Teng,US,Female,en,low,1.4540378631459563e-05,0.0,0.0
Cary Brothers,US,Male,en,low,4.362113589437869e-05,0.0,0.0
Chris Isaak,US,Male,en,high,0.0019047896007212029,0.0037603512616414445,0.006444265873003347
Common,US,Male,en,high,0.00036350946578648906,0.0003723800143000636,0.0003384240762775006
Eric Clapton,UK,Male,en,high,0.0016430627853549306,0.003915158645425212,0.009409398669887433
Loreen,SE,Female,en,high,0.0007124785529415186,0.0008866241387903208,7.872020627752526e-05
Kat Dahlia,US,Female,en,low,2.9080757262919125e-05,0.0,0.0
Queen,JP,Female,en,high,0.01036728996423067,0.027316858317891633,0.03018959803932582
Hannah Wicklund & The Steppin Stones,US,Female,0,mid,0.0002471864367348126,0.0,0.0
Oliver Koletzki,DE,Male,no_lyrics,high,0.0006979381743100591,0.0008458656607548209,0.0004826707349298243
Nas,US,Male,en,high,0.0010469072614650886,0.0004037677513897783,0.000779262440338764
Vance Joy,AU,Male,en,high,0.0007560996888358973,0.0006065441008681532,0.0
Many Voices Speak,SE,Female,en,mid,0.00021810567947189345,0.0,0.0
JoJo Siwa,US,Female,en,low,7.270189315729782e-05,0.0,0.0
Curumin,BR,Male,pt,mid,0.00013086340768313608,8.317904999927444e-05,0.00015744041255505052
009 Sound System,US,Male,en,mid,0.00014540378631459563,0.00015383837345937223,7.872020627752526e-05
Albert King,US,Male,en,high,0.00029080757262919127,8.888692627967726e-05,0.00017971319698523928
Maluma,CO,Male,es,high,0.00029080757262919127,0.0,0.0
Ry x,AU,Male,en,high,0.0014394974845144968,0.00204461487744051,0.0009574481363015196
Scott Walker,UK,Male,en,high,0.0007415593102044377,0.0003765032017193813,7.213241292398154e-05
Julia Holter,US,Female,en,high,0.002355541338296449,0.0019168753844122349,0.004749913465497265
Bryan Ferry,UK,Male,en,high,0.0010614476400965481,0.000421603126276775,0.0
Alicia Keys,US,Female,en,high,0.0007560996888358973,0.00012476857499891167,0.0
Feist,CA,Female,en,high,0.0021228952801930962,0.0006392159384242921,0.0
Cássia Eller,BR,Female,pt,mid,0.00013086340768313608,0.0003237985125535994,0.0004158952499963722
Waxahatchee,US,Female,en,high,0.0009451246110448716,0.000542428024135972,7.511816718184699e-05
Riley Pearce,AU,Male,en,high,0.0005089132521010847,0.00010746980087250656,0.00015744041255505052
Sharon Van Etten,US,Female,en,high,0.001468578241777416,0.0010845732148137075,0.002072712108843832
Steve Angello,SE,Male,en,low,1.4540378631459563e-05,0.0,0.0
Clare Maguire,UK,Female,en,low,4.362113589437869e-05,0.0,0.0
Marion Raven,NO,Female,en,low,1.4540378631459563e-05,0.0,0.0
Natalia Kills,UK,Female,en,mid,0.0002471864367348126,7.511816718184699e-05,0.0
Eric Saade,SE,Male,en,low,1.4540378631459563e-05,0.0,0.0
John Farnham,AU,Male,en,low,1.4540378631459563e-05,0.0,0.0
Michael Seyer,US,Male,0,low,5.816151452583825e-05,0.0,0.0
Michelle Branch,US,Female,en,high,0.0004798324948381656,7.872020627752526e-05,0.0
Red,PL,Male,en,high,0.0015121993776717945,0.004367745941606869,0.0025307256921735985
Jason Derülo,US,Male,0,high,0.00030534795126065085,0.0,0.0
Corinne Bailey Rae,UK,Female,en,high,0.001599441649460552,0.0022673348030113924,0.0017265742148474094
XXYYXX,US,Male,en,mid,0.00013086340768313608,0.0,0.0
Robin Trower,UK,Male,en,low,7.270189315729782e-05,0.00018258796805435353,0.0
Fallulah,DK,Female,en,low,5.816151452583825e-05,0.0,0.0
Gary Clark Jr.,US,Male,en,high,0.0007560996888358973,0.0,0.0
Kishi Bashi,US,Male,en,mid,0.00013086340768313608,0.0,7.872020627752526e-05
Xuxa,BR,Female,pt,mid,0.00015994416494605519,0.0,0.0
Adam Lambert,US,Male,en,mid,0.00018902492220897432,0.0,0.0
Danny L Harle,UK,Male,0,mid,0.00013086340768313608,0.0,0.0
Jack Savoretti,UK,Male,en,low,2.9080757262919125e-05,0.0,0.0
Frank Zappa,US,Male,en,high,0.0009160438537819524,0.00015383837345937223,7.213241292398154e-05
Lil Dicky,US,Male,en,mid,0.00017448454357751477,0.0,0.0
Princess Nokia,US,Non-binary,en,high,0.0013231744554628203,8.888692627967726e-05,0.0
Townes Van Zandt,US,Male,en,high,0.0006543170384156803,0.0005075634890995031,0.0
Adam Green,US,Male,en,low,7.270189315729782e-05,0.0,0.0
Marco Mengoni,IT,Male,it,mid,0.00021810567947189345,0.0,0.0
Neneh Cherry,SE,Female,en,high,0.0011777706691482245,0.00047550793638117715,0.0
S. Carey,US,Male,0,low,4.362113589437869e-05,0.0,0.0
Watermät,FR,Male,no_lyrics,mid,0.00026172681536627216,9.653414698596486e-05,8.888692627967726e-05
Denzel Curry,US,Male,en,high,0.0004071306016808678,0.00030735654305326523,0.0
R. Kelly,US,Male,0,mid,0.0002035653008404339,0.0,0.0
Mohombi,SE,Male,en,mid,0.0002762671939977317,0.0,0.0
Venom,UK,Male,en,high,0.0003925902230494082,0.001919990350575805,0.0008350480202765849
Chad VanGaalen,CA,Male,en,mid,0.00014540378631459563,0.0,0.0
oOoOO,US,Male,en,mid,0.00026172681536627216,0.00023613750638550577,0.00039624346933294247
Teyana Taylor,US,Female,en,low,2.9080757262919125e-05,0.0,0.0
Gregory Porter,US,Male,en,high,0.00034896908715502953,0.0,0.0
Tim Buckley,US,Male,en,mid,0.000232646058103353,0.00012476857499891167,0.0
Brian Eno,UK,Male,no_lyrics,high,0.0006252362811527613,0.00019306829397192971,0.0
Katy Perry,US,Female,en,high,0.001366795591357199,0.00015744041255505052,0.0
Rone,US,Male,no_lyrics,mid,0.00026172681536627216,0.0001854210732656421,9.653414698596486e-05
Brooke Fraser,NZ,Female,en,low,1.4540378631459563e-05,0.0,0.0
Apparat,DE,Male,en,high,0.0013958763486201181,0.0028973241893789576,0.006805964519231061
G-DRAGON,KR,Male,ko,low,5.816151452583825e-05,0.0,0.0
Raul Seixas,BR,Male,pt,high,0.0010469072614650886,0.001982920668817339,0.006144153634503968
Gustavo Cerati,AR,Male,es,high,0.000567074766626923,0.0,0.0
J.J. Cale,US,Male,en,high,0.0008142612033617356,0.00015383837345937223,0.0
Melanie Martinez,US,Female,en,high,0.0014249571058830373,8.888692627967726e-05,0.0
Grimes,CA,Female,en,high,0.00430395207491203,0.005717475518967025,0.0019389658473388427
Lenny Kravitz,US,Male,en,mid,0.00010178265042021695,0.0,0.0
Marlena Shaw,US,Female,en,high,0.0004216709803123273,0.0,8.888692627967726e-05
"Albert Hammond, Jr.",US,Male,en,high,0.0005816151452583825,0.0,0.0
Pedro Capó,US,Male,es,low,5.816151452583825e-05,0.0,0.0
Ryan Beatty,US,Male,en,low,1.4540378631459563e-05,0.0,0.0
Stan Ridgway,US,Male,en,mid,0.00018902492220897432,0.0,0.0
Thomas Dybdahl,NO,Male,en,high,0.000465292116206706,7.511816718184699e-05,0.0003570069508703299
Devin Townsend,CA,Male,en,high,0.002355541338296449,0.0027762995495608893,0.0011176030108689897
Mandy Moore,US,Female,en,low,7.270189315729782e-05,0.0,0.0
Paolo Nutini,UK,Male,en,high,0.0010905283973594673,0.000374305724996735,0.00022957282547903204
Mark Knopfler,UK,Male,en,high,0.00031988832989211037,0.0,0.0
Baden Powell,BR,Male,pt,low,2.9080757262919125e-05,0.0,0.0
Imogen Heap,UK,Female,en,high,0.0006252362811527613,7.213241292398154e-05,0.0
Mario,CH,Male,en,low,2.9080757262919125e-05,0.0,0.0
Zélia Duncan,BR,Female,pt,low,1.4540378631459563e-05,0.0,0.0
Natalie Merchant,US,Female,en,high,0.00031988832989211037,0.0,0.0
Beirut,DE,Male,en,high,0.000567074766626923,9.653414698596486e-05,0.00015383837345937223
Flavien Berger,FR,Male,fr,low,5.816151452583825e-05,0.0,0.0
Leila Pinheiro,BR,Female,pt,low,4.362113589437869e-05,0.0,0.0
Matt Simons,US,Male,en,mid,8.724227178875738e-05,0.0,0.0
Kelsy Karter,US,Female,0,low,1.4540378631459563e-05,0.0,0.0
Lisa,IT,Female,ja,high,0.00033442870852356995,0.0,0.0
Perry Como,US,Male,en,low,1.4540378631459563e-05,0.0,0.0
Francisca Valenzuela,CL,Female,es,mid,0.00010178265042021695,0.0,0.0
Parov Stelar,AT,Male,en,high,0.0009887457469392503,0.0013397462170248303,0.0001720659762789517
Jorge Drexler,UY,Male,es,high,0.000465292116206706,0.0,0.0
Alceu Valença,BR,Male,pt,mid,0.00010178265042021695,0.0,0.0
King Krule,UK,Male,en,high,0.0006979381743100591,7.872020627752526e-05,0.0
Stacey Kent,US,Female,en,mid,0.00014540378631459563,0.0,0.0
Diana Ross,US,Female,en,high,0.00037804984441794864,0.0,0.0
Nick Jonas,US,Male,en,mid,0.00010178265042021695,0.0,0.0
Compay Segundo,CU,Male,es,low,2.9080757262919125e-05,0.0,0.0
Tove Styrke,SE,Female,en,mid,0.00013086340768313608,0.0,0.0
Carla Bruni,FR,Female,fr,mid,0.00026172681536627216,0.0,0.0
Anthony Hamilton,US,Male,en,low,5.816151452583825e-05,0.0,0.0
Keaton Henson,UK,Male,en,high,0.0009742053683077907,0.0,7.213241292398154e-05
Dustin Tebbutt,AU,Male,en,mid,0.0002035653008404339,0.0,0.0
Glenn Miller,US,Male,en,low,2.9080757262919125e-05,0.00010746980087250656,0.0
Toby Green,DK,Male,en,mid,8.724227178875738e-05,0.0,0.0
Jack Garratt,UK,Male,en,low,1.4540378631459563e-05,0.0,0.0
Kim Wilde,UK,Female,en,low,2.9080757262919125e-05,0.0,0.0
Ghostface Killah,US,Male,en,low,2.9080757262919125e-05,0.0,0.0
April March,US,Female,fr,high,0.0006979381743100591,0.0,0.0
DJ Bobo,CH,Male,en,high,0.00029080757262919127,0.00015744041255505052,0.0
The Rapture,UK,Male,en,mid,0.0001163230290516765,0.0,0.0
Caparezza,IT,Male,it,mid,0.00014540378631459563,0.0,0.0
M. Ward,US,Male,en,high,0.0005961555238898421,0.0005790221046532685,0.0003216695629218049
Aimee Mann,US,Female,en,high,0.0014249571058830373,0.0006431150689383796,0.00016400509346152425
Jorge Ben Jor,BR,Male,pt,mid,0.00010178265042021695,0.00016635809999854888,8.317904999927444e-05
John Williams,US,Male,no_lyrics,high,0.0006106959025213017,0.0006604445874891788,0.0012262943724182776
Oneohtrix Point Never,US,Male,no_lyrics,high,0.002151976037456015,0.003245864238417252,0.005113430068060363
Earl Sweatshirt,US,Male,en,high,0.0023846220955593684,0.0029950504110783085,0.0013989062821768475
Mariza,PT,Female,pt,low,4.362113589437869e-05,0.0008285806888296488,0.0013792299048397429
Mark Forster,DE,Male,de,low,4.362113589437869e-05,0.0,0.0
Gloria Trevi,MX,Female,es,mid,0.0002471864367348126,0.0,0.0
Avicii,SE,Male,en,high,0.00031988832989211037,8.888692627967726e-05,0.0
Jacco Gardner,NL,Male,en,mid,0.00013086340768313608,0.0,0.0
Usher,US,Male,en,high,0.0005961555238898421,0.0,0.0
Frank Ocean,US,Male,en,high,0.00431849245354349,0.006794050790550178,0.006631576842409294
Teddy Pendergrass,US,Male,en,low,5.816151452583825e-05,0.0,0.0
Josef Salvat,AU,Male,en,low,2.9080757262919125e-05,0.0,0.0
Bryan Adams,CA,Male,en,high,0.0022101375519818535,0.013489684424322652,0.01582218864320087
Damien Jurado,US,Male,en,high,0.0013813359699886584,7.511816718184699e-05,7.213241292398154e-05
Dolly Parton,US,Female,en,high,0.0017448454357751476,0.005465540199598101,0.007520426352636296
Dillinger,UK,Male,en,mid,0.00010178265042021695,9.653414698596486e-05,0.0
ZHU,US,Male,en,high,0.00033442870852356995,0.0,0.0
Stevie Ray Vaughan,US,Male,en,low,5.816151452583825e-05,0.0,0.0
Conor Maynard,UK,Male,en,low,4.362113589437869e-05,0.0,0.0
Damien Rice,IE,Male,en,high,0.0006833977956785995,8.888692627967726e-05,0.00019988674218075867
BRENNAN SAVAGE,US,Male,en,mid,0.00010178265042021695,7.213241292398154e-05,0.0
Rachel Platten,US,Female,en,mid,8.724227178875738e-05,0.0,0.0
"Tyler, the Creator",US,Male,en,high,0.0007270189315729781,0.0,7.213241292398154e-05
Sibylle Baier,DE,Female,en,high,0.0010469072614650886,0.000689186550106836,0.0
Fred V & Grafix,UK,Male,0,mid,0.00017448454357751477,0.00010746980087250656,0.0
Stephan Eicher,CH,Male,fr,low,1.4540378631459563e-05,0.0,0.0
Paul Young,UK,Male,en,mid,0.000232646058103353,0.0,0.0
Liam Gallagher,UK,Male,en,mid,0.00010178265042021695,0.0,0.0
Marvin Gaye,US,Male,en,high,0.00030534795126065085,0.0,0.0
Erutan,US,Female,en,low,5.816151452583825e-05,0.0,0.0
Skylar Grey,US,Female,en,low,1.4540378631459563e-05,0.0,0.0
Sophie Ellis-Bextor,UK,Female,0,high,0.0004943728734696252,0.0,0.0
Jackie Shane,CA,Female,en,low,5.816151452583825e-05,0.0,0.0
Gabrielle Aplin,UK,Female,en,mid,0.000232646058103353,0.0,0.0
Bob Marley,JM,Male,en,mid,0.00010178265042021695,0.0,0.0
Camarón de la Isla,ES,Male,es,low,2.9080757262919125e-05,0.0,0.0
Angela Ro Ro,BR,Female,pt,low,4.362113589437869e-05,0.0,0.00015744041255505052
Diomedes Chinaski,BR,Male,pt,low,1.4540378631459563e-05,0.0,0.0
Lou Reed,US,Male,en,high,0.0012359321836740629,0.000325024432665183,8.317904999927444e-05
Jack River,AU,Female,en,high,0.0006252362811527613,0.0,0.0
Tina Turner,CH,Female,en,high,0.0004507517375752465,0.0,0.0
Little Boots,UK,Female,en,high,0.0004362113589437869,0.0,0.0
Camila Cabello,US,Female,en,high,0.00033442870852356995,0.0,0.0
City and Colour,CA,Male,en,high,0.0012213918050426034,7.213241292398154e-05,0.0
Don Omar,US,Male,es,low,2.9080757262919125e-05,0.0,0.0
Emma Ruth Rundle,US,Female,en,high,0.001962951115247041,0.0013556113345895284,0.0009015484722011442
Gary Numan,UK,Male,en,high,0.0007124785529415186,0.00022130272198487652,0.0
Criolo,BR,Male,pt,high,0.0011923110477796842,0.001250183815106424,0.0004761406841020179
Mike Posner,US,Male,en,mid,0.00021810567947189345,0.0,0.0
Alejandro Sanz,ES,Male,es,mid,0.0002471864367348126,0.0,0.0
Tal Wilkenfeld,AU,Female,en,mid,0.00010178265042021695,0.0,0.0
Ian Brown,UK,Male,en,high,0.0003925902230494082,0.0,0.0
Jeff Buckley,US,Male,en,high,0.0018320877075639049,0.0013940355950516974,0.0011141872740448775
Marilina Bertoldi,AR,Female,es,high,0.00030534795126065085,0.0,0.0
Eves Karydas,AU,Female,en,low,5.816151452583825e-05,0.0,0.0
Bruno Mars,US,Male,en,high,0.0016576031639863901,0.000603878550475767,0.0
Shakey Graves,US,Male,en,high,0.0003925902230494082,0.0,0.0
Alan Jackson,US,Male,en,high,0.0006106959025213017,0.0,0.0
David Crosby,US,Male,en,mid,0.00013086340768313608,0.0,0.0
George Michael,UK,Male,en,high,0.0004071306016808678,0.00023223837587141825,0.0
Noisestorm,IE,Male,en,high,0.0022101375519818535,0.002350910366486505,0.0005785188935319345
Billy Idol,UK,Male,en,high,0.000567074766626923,8.317904999927444e-05,0.0
Santigold,US,Female,en,high,0.001163230290516765,0.0,0.0
Lady Lamb,US,Female,en,low,7.270189315729782e-05,0.0,0.0
Frah Quintale,IT,Male,it,mid,0.0001163230290516765,0.0,0.0
Daniela Andrade,CA,Female,en,mid,0.0001163230290516765,0.0,0.0
Chris Brown,US,Male,en,mid,0.00021810567947189345,0.0,0.0
Alanis Morissette,CA,Female,en,high,0.002239218309244773,0.00032144550601657473,0.00015085261920150679
Ozzy Osbourne,UK,Male,en,high,0.00398406374501992,0.00750322061458901,0.010427176833922162
Van Morrison,UK,Male,en,high,0.0008869630965190334,0.0,0.0
Tarja,FI,Female,0,high,0.00034896908715502953,9.653414698596486e-05,0.0
Ghost,UK,Male,en,high,0.001134149533253846,0.0010206091709196532,0.00045555906429933806
Rodriguez,UY,Male,en,low,7.270189315729782e-05,0.0,0.0
Foxes,UK,Female,en,high,0.00031988832989211037,0.0,0.0
Jennifer Paige,US,Female,en,high,0.0008578823392561142,0.00042913936379431145,0.00029365980802253835
Tessa Violet,US,Female,en,high,0.0005234536307325443,0.0,0.0
Kindness,UK,Non-binary,en,mid,0.000232646058103353,0.0,0.0
Pixie Lott,UK,Female,en,high,0.00030534795126065085,0.0,0.0
Miles Kane,UK,Male,en,mid,0.000232646058103353,0.0,0.0
Paloma Faith,UK,Female,en,mid,0.00010178265042021695,0.0,0.0
Tommy James & The Shondells,US,Male,0,mid,0.00015994416494605519,0.0,0.0
Mayhem,CA,Female,en,high,0.0029662372408177508,0.005372430594177858,0.0015313238965897855
Kacey Musgraves,US,Female,en,high,0.003489690871550295,0.0038051072736881232,0.000735411548340024
Carly Rae Jepsen,CA,Female,en,high,0.0005234536307325443,0.0,0.0
Billie Marten,UK,Female,en,high,0.00036350946578648906,0.0,0.0
Plumb,US,Female,en,mid,0.00017448454357751477,0.0,0.0
Kyla La Grange,UK,Female,en,mid,8.724227178875738e-05,0.0,0.0
Peter Murphy,UK,Male,en,high,0.0004071306016808678,0.0,0.0
Aesop Rock,US,Male,en,high,0.0014249571058830373,0.001209878390573211,0.001361051213640197
Cazuza,BR,Male,pt,low,5.816151452583825e-05,0.0,0.0
Brad stank,UK,Male,0,low,5.816151452583825e-05,0.0,0.0
Crywolf,US,Male,en,high,0.0015703608921976329,0.0003684227034311355,7.213241292398154e-05
Sóley,IS,Female,en,mid,0.0002471864367348126,0.0,0.0
Peter Brown,ES,Male,en,low,5.816151452583825e-05,0.0,0.0
Aaron Smith,US,Male,en,high,0.0016285224067234712,0.0012303996170756858,0.0006231661968565406
Nik Kershaw,UK,Male,en,high,0.0006543170384156803,0.0007369056597232499,0.0008432258680243684
Delta Goodrem,AU,Female,en,mid,0.00021810567947189345,0.0,0.0
David Guetta,FR,Male,en,mid,0.0002471864367348126,0.0,0.0
Zola Jesus,US,Female,en,mid,0.0002762671939977317,0.0001618992562767997,0.0
Charlie Puth,US,Male,en,high,0.00036350946578648906,0.00010746980087250656,0.0
Benjamin Biolay,FR,Male,fr,low,7.270189315729782e-05,0.0,0.0
Zaz,FR,Female,fr,high,0.00033442870852356995,0.0,0.0
Jeff Rosenstock,US,Non-binary,en,high,0.00037804984441794864,0.0,0.0
Maaike Ouboter,NL,Female,nl,mid,0.000232646058103353,0.0,0.0
Billie Piper,UK,Female,en,mid,0.00010178265042021695,0.0,0.0
Adele,UK,Female,en,high,0.006048797510687178,0.009164931252998405,0.007462282502091447
Yelawolf,US,Male,en,low,1.4540378631459563e-05,0.0,0.0
Bonobo,UK,Male,en,high,0.0021228952801930962,0.001014770695979681,0.000726294118937654
Daniela Romo,MX,Female,es,low,4.362113589437869e-05,0.0,0.0
Julieta Venegas,MX,Female,es,low,4.362113589437869e-05,0.0,0.0
Eefje de Visser,NL,Female,nl,mid,0.00014540378631459563,0.0,0.0
Eliot Sumner,IT,Other,en,low,4.362113589437869e-05,0.0,0.0
Emilie Autumn,US,Female,en,high,0.0009596649896763312,0.00026903340084687475,0.0
Sean Lennon,US,Male,en,mid,0.0001163230290516765,8.317904999927444e-05,0.0
21 Savage,US,Male,en,low,2.9080757262919125e-05,0.0,0.0
Jesse Jo Stark,US,Female,en,low,2.9080757262919125e-05,0.0,0.0
Stacie Orrico,US,Female,en,low,1.4540378631459563e-05,0.0,0.0
Gillian Welch,US,Female,en,low,1.4540378631459563e-05,0.0,0.0
C418,DE,Male,no_lyrics,mid,0.0002035653008404339,0.0003784893672375718,9.653414698596486e-05
Son House,US,Male,en,low,2.9080757262919125e-05,0.0,0.0
Gary Wilson,US,Male,en,low,2.9080757262919125e-05,0.0,0.0
