user_country,user_age,user_gender,user_id,iteration_1_ndcg@10,iteration_1_average_pop,iteration_2_ndcg@10,iteration_2_average_pop,train_pop
UK,31,m,0,,,,,
UK,29,m,1,1.0,0.001199581237095414,0.0,0.006077878267950097,0.0004539829328266819
US,29,f,2,0.0,0.010253875010905283,0.091092403223458,0.012464012562887136,0.004312953261683887
CH,27,m,3,0.7402849195166222,0.0028993514991130366,0.2062658899462767,0.006121499403844476,0.0011019844532509202
UK,32,m,4,0.7668091220635322,0.004869572803675807,0.6684881776649958,0.005734725332247652,0.004249166005425639
SE,28,m,5,0.0,0.005060051763747928,0.5855700749881525,0.004197807310902376,0.0014225337094444606
US,33,m,6,0.5541432109622958,0.022155174920754937,0.4690000933206748,0.009477418791985343,0.002641963717370121
AU,37,m,7,0.7116179486056782,0.0031145491028586386,0.933745776545611,0.0045031552621630265,0.0026253907100016747
AU,26,m,8,0.7123736502858727,0.011718091139093261,0.8603818544462509,0.007276005467182366,0.007979950040889718
FI,30,m,9,0.3183412193664158,0.011518887951842267,0.892210845475489,0.014583999767353941,0.0027424418479683296
UK,27,m,10,,,,,
FI,26,m,11,0.0,0.005243260534504318,0.0,0.010739523657196033,0.0014394974845144968
NO,27,f,12,0.5681450853316897,0.02547038124872772,0.3589542101716347,0.02093523715357548,0.00654673689212301
UA,31,m,13,,,,,
US,32,m,14,0.6131471927654584,0.0029516968621862913,0.8318724637288826,0.00583941605839416,0.0016285224067234707
FI,27,m,15,0.3589542101716347,0.006130223631023351,0.5009732673492616,0.004546776398057405,0.0030904681950900455
NL,25,m,16,0.0,0.008395614621804753,0.5186511804016661,0.003454793962834792,0.0016395730944833804
SE,25,f,17,0.6131471927654584,0.004132375607060808,0.1175161047564271,0.005573327129438451,0.0022818008466654756
PL,29,m,18,1.0,0.01739320091895193,0.3868528072345416,0.009630092767615669,0.0014431325791723617
SE,26,m,19,1.0,0.0029327943699653937,0.8701249883466593,0.003985517782883067,0.004066529467306556
US,40,m,20,0.6870165078530993,0.006602785936545788,0.933745776545611,0.002391892284875098,0.0032033484545638353
