user_id	ndcg@10
870	0.793584067764911
534	1.0
390	1.0
218	1.0
564	1.0
698	0.800693766409882
750	0.13886244387355454
166	0.33013764944712026
199	0.642186726668901
743	0.727329844310522
134	0.6678262889110271
15	0.43735247915031
44	0.6122496142821665
214	0.30260241349881345
468	0.8701249883466593
445	0.16716045496620227
96	0.0
159	0.9363792118010483
675	0.6025064803817581
494	0.706046305905179
460	0.8630152897016883
205	0.0
568	0.0
730	0.6020941629041773
503	0.0
655	0.9971876401972101
209	1.0
457	0.762416491594312
470	0.6755184993100495
544	0.6105456988825855
694	0.8603818544462509
917	1.0
927	0.5026317885449211
764	0.9363792118010483
259	0.6489315753318465
466	0.58341868454383
860	1.0
397	0.5473983622993502
793	0.7909506325094737
171	0.3995688713838975
196	0.8701249883466593
20	0.6994739030813919
262	1.0
479	0.467122359745432
891	0.6207622843987103
135	1.0
169	1.0
685	0.8630152897016883
339	0.4690000933206748
408	0.4351098955930419
99	1.0
287	0.8364586133797037
228	1.0
183	1.0
922	0.5585075862632192
229	0.7819835854675755
9	0.3903800499921017
78	0.1584091525685025
308	1.0
45	0.0
452	0.5546406709327603
449	0.18457569677956817
796	1.0
235	0.6131471927654584
821	1.0
113	1.0
337	0.7885497208855957
454	0.7151857987862356
797	0.0
90	1.0
878	0.17342765698823945
243	0.5473983622993502
143	0.7183627972686238
634	0.0
770	0.8701249883466593
546	0.8701249883466593
126	0.43735247915031
808	0.800693766409882
266	0.8701249883466593
396	1.0
415	0.0
784	0.8701249883466593
824	1.0
459	0.0
284	0.28952298823485745
481	0.0
60	0.0
57	0.4690000933206748
832	0.750637296052051
480	1.0
31	0.6906478832608419
95	0.6168295842361274
419	0.9305687780632227
517	0.5637884576902256
887	0.7751482523375255
794	0.22924436334369883
575	1.0
168	0.617319681505689
295	0.933745776545611
455	1.0
231	0.857980942822373
165	0.642186726668901
42	0.4540985407057151
154	1.0
721	0.22009176629808017
620	0.9363792118010483
200	0.6316243658611127
333	0.866947989864271
692	0.6172839611614819
815	0.866947989864271
510	0.6994739030813919
49	0.0
505	0.510383374527714
869	0.41231449937143627
404	0.9828920819566879
242	0.9469024295259745
241	1.0
550	1.0
907	0.7778721720600673
116	0.30260241349881345
86	0.6366824387328317
932	0.4034698846650846
296	0.7788065869851872
276	0.0
895	0.8165901947515999
911	0.5541432109622958
265	1.0
151	0.8512360941594274
72	0.46927872602275644
829	0.6994739030813919
294	0.7409096387260823
304	0.647939623894138
271	1.0
885	0.5592067393987519
665	0.7457912185292983
514	0.7408978625034318
856	1.0
132	1.0
802	1.0
840	0.8255857570917465
204	0.800693766409882
614	0.727329844310522
590	0.0
7	0.627507133061656
364	0.8572048559638628
6	0.5352543167750639
391	0.6117952373568122
490	0.6131471927654584
22	0.4599715079731103
309	0.6131471927654584
880	0.5637884576902256
633	0.5857421563596757
722	0.3589542101716347
605	0.30260241349881345
705	1.0
767	0.9363792118010483
167	0.9828920819566879
303	1.0
800	0.892210845475489
456	0.22400556151517553
326	1.0
64	0.7605591431973849
299	0.46927872602275644
50	1.0
19	0.9266360779006401
594	0.38121301394452073
377	0.06943122193677727
431	0.7222954974312066
657	0.7222954974312066
74	0.4329261794091841
28	0.6816587806335841
810	0.8701249883466593
162	0.8701249883466593
446	0.8701249883466593
658	0.9266360779006401
643	1.0
670	1.0
465	0.9363792118010483
367	1.0
97	0.5637884576902256
695	1.0
156	0.4935232796777481
592	0.800693766409882
703	0.7702043899253147
747	0.8358912271816661
528	0.7748248586952257
221	0.7819835854675755
371	1.0
913	0.15130120674940672
48	0.7568246800972069
771	0.0
735	1.0
117	1.0
584	0.866947989864271
381	1.0
904	0.727329844310522
587	0.0
232	0.41253177989255346
886	0.8701249883466593
744	0.5430029249822634
233	0.684383072597662
416	0.3327372413301053
938	0.7702043899253147
179	0.0
402	0.8358912271816661
131	0.21840743681816419
147	0.0
648	0.7653606369886217
839	0.0
108	0.0
275	0.8539316501572937
761	0.9930783166417602
482	0.7183627972686238
717	0.7457912185292983
606	1.0
47	0.4690000933206748
530	0.6371523797895856
256	0.0
902	0.6724559848537955
704	0.9305687780632227
366	0.78180487222265
224	0.3903800499921017
738	0.37941405415148566
65	0.5423640154200349
187	0.0
604	1.0
336	1.0
683	0.800693766409882
248	0.5135312443624667
76	0.30689801625658514
127	1.0
322	0.7312625444731047
727	0.0
653	0.38685280723454163
650	1.0
581	1.0
411	1.0
755	0.84860265890399
236	0.4483039899025303
23	0.2529427027676571
342	0.5271064966405455
188	0.8175295903539445
301	0.42520843362602373
775	1.0
693	0.6366824387328317
669	0.42520843362602373
443	0.7917267193679839
463	1.0
164	0.0
500	0.8603818544462509
435	0.6366824387328317
924	0.15130120674940672
663	0.6489315753318465
819	0.46927872602275644
73	0.7227265726449519
708	0.5231737964779628
43	0.46927872602275644
593	0.0
811	1.0
119	1.0
691	0.6489315753318465
290	0.6131471927654584
424	0.23992089480238082
268	0.4772656487866461
551	1.0
201	0.9363792118010483
414	0.0
39	0.727329844310522
498	0.21726071285222986
348	0.8318724637288826
328	0.7903864795495061
918	1.0
133	0.7846170207230129
492	0.0
720	0.0
305	0.4935232796777481
842	1.0
297	0.4537425745411855
272	0.3903800499921017
288	1.0
706	0.6434035614033737
506	1.0
929	1.0
515	0.5666867828578932
555	0.7713707099946513
473	0.800693766409882
586	0.8626199664389336
79	0.4935232796777481
599	0.5919268187287083
428	0.4537425745411855
312	1.0
766	1.0
345	0.6969383549984332
749	0.49959580689988364
833	0.5423640154200349
343	0.27487633291429087
710	0.5637884576902256
273	0.513528549750033
789	0.0
558	0.6968404678259545
640	0.8701249883466593
485	0.7653606369886217
765	0.7909506325094737
155	0.0
203	0.5077181160122074
509	0.8318724637288826
563	1.0
837	1.0
773	0.0
756	0.46927872602275644
52	0.46927872602275644
804	1.0
561	0.6131471927654584
282	0.6516798916948996
1	0.0
251	0.5214682725103094
672	0.13886244387355454
699	0.19342640361727081
635	0.0
582	0.8687949224876582
219	0.8701249883466593
335	1.0
334	0.8318724637288826
883	0.20483424751859086
33	0.8701249883466593
417	0.866947989864271
496	0.4690000933206748
325	0.5958595188912912
252	0.933745776545611
835	0.42838543210841196
851	0.7526136409516659
54	0.5141863642577489
41	0.6364391809889587
395	0.5637884576902256
816	0.6366824387328317
889	0.3337634061956825
843	0.14126697285982898
502	0.5390031312763821
873	0.23719771276929622
788	1.0
716	0.5585075862632192
261	0.2960819109658652
679	1.0
487	0.5032251913410369
729	0.727329844310522
632	0.8503449055347546
939	0.3391602052736161
651	1.0
192	1.0
38	0.5637884576902256
40	1.0
106	0.2797643380184693
338	0.5423640154200349
483	0.0
504	0.6131471927654584
518	1.0
579	0.7751482523375255
437	1.0
51	0.933745776545611
311	0.8603818544462509
105	1.0
226	0.800693766409882
865	0.0
318	0.6203974344166848
723	0.1482972305701491
783	0.41231449937143627
115	0.17723928678404774
267	0.6193198671454698
910	0.2529427027676571
782	1.0
110	0.3903800499921017
247	0.48522855511632257
908	0.6508205185601091
190	0.33013764944712026
278	0.6898511839334865
674	1.0
570	1.0
621	0.43735247915031
98	0.5036067026046991
388	0.3029889503327761
689	0.17342765698823945
250	0.35256832412172806
641	0.6739577727076379
609	1.0
618	1.0
598	0.5531464700081437
410	0.4658230948382866
875	0.7059054020403313
83	0.7917267193679839
225	0.41253177989255346
227	0.23463936301137822
67	0.22009176629808017
123	0.627507133061656
805	0.23365080824310533
493	1.0
112	0.18154179253735267
174	0.0
562	0.0
185	0.43735247915031
535	0.3379680345449381
906	0.0
638	0.18154179253735267
541	1.0
830	0.2476427880871277
8	0.9216017310213247
384	0.7751482523375255
141	0.8104616303452685
353	0.4103915680233244
347	0.0
859	0.3589542101716347
768	0.9216017310213247
26	1.0
118	0.2960819109658652
820	0.866947989864271
776	0.6102766247064297
351	0.41966500663677697
355	0.41528076708874123
213	0.0
807	0.6547216238913564
645	0.8687949224876582
934	0.46927872602275644
524	0.8358912271816661
532	1.0
475	0.0
806	0.8048099750039491
193	0.647939623894138
520	0.3589542101716347
393	0.0
588	0.7967610662472993
900	0.0
332	0.5214682725103094
142	0.5531464700081437
89	0.0
472	0.0
2	0.36331756126716835
37	0.06362078819895171
18	1.0
234	0.6804426793756725
828	0.6366824387328317
215	1.0
567	0.892210845475489
636	0.6739577727076379
553	0.4366632592553499
901	0.933745776545611
554	1.0
82	0.0
548	0.7917267193679839
677	0.696162268139923
441	0.4856486183364634
245	0.33013764944712026
629	0.0
430	0.6207622843987103
882	0.0
909	0.5473983622993502
349	0.0
491	0.5531464700081437
696	0.9469024295259745
344	0.7751482523375255
462	0.0
444	0.866947989864271
678	0.7222954974312066
27	0.4935232796777481
585	0.4736695902179647
306	0.727329844310522
933	0.6309297535714575
249	0.0
525	0.8315546295836225
834	1.0
740	0.5107164012496701
899	0.9363792118010483
350	0.6368547259115425
600	0.0
399	0.9292442392789194
